mockito-core-4.1.1-SNAPSHOT.jar -> java.base
mockito-core-4.1.1-SNAPSHOT.jar -> java.instrument
   org.mockito.MockSettings                           -> org.mockito.listeners.VerificationStartedListener  mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.MockSettings                           -> org.mockito.mock.MockCreationSettings              mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.MockSettings                           -> org.mockito.mock.SerializableMode                  mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.MockSettings                           -> org.mockito.stubbing.Answer                        mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.MockedConstruction                     -> java.lang.Object                                   java.base
   org.mockito.MockedConstruction                     -> java.util.List                                     java.base
   org.mockito.MockedConstruction                     -> org.mockito.MockedConstruction$Context             mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.MockedConstruction                     -> org.mockito.MockedConstruction$MockInitializer     mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.MockedConstruction                     -> org.mockito.ScopedMock                             mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.MockedConstruction$Context             -> java.lang.Object                                   java.base
   org.mockito.MockedConstruction$Context             -> java.lang.reflect.Constructor                      java.base
   org.mockito.MockedConstruction$Context             -> java.util.List                                     java.base
   org.mockito.MockedConstruction$Context             -> org.mockito.MockedConstruction                     mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.MockedConstruction$MockInitializer     -> java.lang.Object                                   java.base
   org.mockito.MockedConstruction$MockInitializer     -> java.lang.Throwable                                java.base
   org.mockito.MockedConstruction$MockInitializer     -> org.mockito.MockedConstruction                     mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.MockedConstruction$MockInitializer     -> org.mockito.MockedConstruction$Context             mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.MockedStatic                           -> java.lang.Object                                   java.base
   org.mockito.MockedStatic                           -> org.mockito.MockedStatic$Verification              mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.MockedStatic                           -> org.mockito.Mockito                                mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.MockedStatic                           -> org.mockito.ScopedMock                             mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.MockedStatic                           -> org.mockito.stubbing.OngoingStubbing               mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.MockedStatic                           -> org.mockito.verification.VerificationMode          mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.MockedStatic$Verification              -> java.lang.Object                                   java.base
   org.mockito.MockedStatic$Verification              -> java.lang.Throwable                                java.base
   org.mockito.MockedStatic$Verification              -> org.mockito.MockedStatic                           mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.MockingDetails                         -> java.lang.Object                                   java.base
   org.mockito.MockingDetails                         -> java.lang.String                                   java.base
   org.mockito.MockingDetails                         -> java.util.Collection                               java.base
   org.mockito.MockingDetails                         -> org.mockito.invocation.Invocation                  mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.MockingDetails                         -> org.mockito.invocation.MockHandler                 mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.MockingDetails                         -> org.mockito.mock.MockCreationSettings              mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.MockingDetails                         -> org.mockito.stubbing.Stubbing                      mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.Mockito                                -> java.lang.Class                                    java.base
   org.mockito.Mockito                                -> java.lang.Object                                   java.base
   org.mockito.Mockito                                -> java.lang.String                                   java.base
   org.mockito.Mockito                                -> java.lang.Throwable                                java.base
   org.mockito.Mockito                                -> java.lang.invoke.CallSite                          java.base
   org.mockito.Mockito                                -> java.lang.invoke.LambdaMetafactory                 java.base
   org.mockito.Mockito                                -> java.lang.invoke.MethodHandle                      java.base
   org.mockito.Mockito                                -> java.lang.invoke.MethodHandles                     java.base
   org.mockito.Mockito                                -> java.lang.invoke.MethodHandles$Lookup              java.base
   org.mockito.Mockito                                -> java.lang.invoke.MethodType                        java.base
   org.mockito.Mockito                                -> java.util.function.Function                        java.base
   org.mockito.Mockito                                -> org.mockito.Answers                                mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.Mockito                                -> org.mockito.ArgumentMatchers                       mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.Mockito                                -> org.mockito.InOrder                                mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.Mockito                                -> org.mockito.MockSettings                           mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.Mockito                                -> org.mockito.MockedConstruction                     mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.Mockito                                -> org.mockito.MockedConstruction$Context             mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.Mockito                                -> org.mockito.MockedConstruction$MockInitializer     mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.Mockito                                -> org.mockito.MockedStatic                           mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.Mockito                                -> org.mockito.MockingDetails                         mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.Mockito                                -> org.mockito.MockitoFramework                       mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.Mockito                                -> org.mockito.internal.MockitoCore                   mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.Mockito                                -> org.mockito.internal.creation.MockSettingsImpl     mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.Mockito                                -> org.mockito.internal.framework.DefaultMockitoFramework mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.Mockito                                -> org.mockito.internal.session.DefaultMockitoSessionBuilder mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.Mockito                                -> org.mockito.internal.verification.Calls            mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.Mockito                                -> org.mockito.internal.verification.Times            mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.Mockito                                -> org.mockito.internal.verification.VerificationModeFactory mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.Mockito                                -> org.mockito.session.MockitoSessionBuilder          mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.Mockito                                -> org.mockito.stubbing.Answer                        mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.Mockito                                -> org.mockito.stubbing.LenientStubber                mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.Mockito                                -> org.mockito.stubbing.OngoingStubbing               mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.Mockito                                -> org.mockito.stubbing.Stubber                       mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.Mockito                                -> org.mockito.verification.After                     mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.Mockito                                -> org.mockito.verification.Timeout                   mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.Mockito                                -> org.mockito.verification.VerificationAfterDelay    mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.Mockito                                -> org.mockito.verification.VerificationMode          mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.Mockito                                -> org.mockito.verification.VerificationWithTimeout   mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.MockitoAnnotations                     -> java.lang.AutoCloseable                            java.base
   org.mockito.MockitoAnnotations                     -> java.lang.Class                                    java.base
   org.mockito.MockitoAnnotations                     -> java.lang.Deprecated                               java.base
   org.mockito.MockitoAnnotations                     -> java.lang.Exception                                java.base
   org.mockito.MockitoAnnotations                     -> java.lang.Object                                   java.base
   org.mockito.MockitoAnnotations                     -> java.lang.String                                   java.base
   org.mockito.MockitoAnnotations                     -> java.lang.Throwable                                java.base
   org.mockito.MockitoAnnotations                     -> org.mockito.exceptions.base.MockitoException       mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.MockitoAnnotations                     -> org.mockito.internal.configuration.GlobalConfiguration mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.MockitoAnnotations                     -> org.mockito.internal.util.StringUtil               mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.MockitoAnnotations                     -> org.mockito.plugins.AnnotationEngine               mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.MockitoFramework                       -> java.lang.Object                                   java.base
   org.mockito.MockitoFramework                       -> org.mockito.NotExtensible                          mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.MockitoFramework                       -> org.mockito.exceptions.misusing.RedundantListenerException mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.MockitoFramework                       -> org.mockito.invocation.InvocationFactory           mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.MockitoFramework                       -> org.mockito.listeners.MockitoListener              mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.MockitoFramework                       -> org.mockito.plugins.MockitoPlugins                 mockito-core-4.1.1-SNAPSHOT.jar
